Machine,Job,Product,Operation,Start,Duration,Completion
0,5,enzyme1,0,0,3,3
1,2,enzyme0,0,0,8,8
2,1,enzyme0,0,0,8,8
0,4,enzyme1,0,3,3,6
6,4,enzyme1,1,6,2,8
0,0,enzyme0,0,7,8,15
4,1,enzyme0,1,8,4,12
5,2,enzyme0,1,8,4,12
2,9,enzyme3,0,10,4,14
1,3,enzyme1,0,12,3,15
7,1,enzyme0,2,12,4,16
2,10,enzyme3,0,14,4,18
5,5,enzyme1,1,14,2,16
3,0,enzyme0,1,15,4,19
4,7,enzyme2,0,16,3,19
0,11,enzyme3,0,17,4,21
1,12,enzyme4,0,18,5,23
5,8,enzyme2,0,18,3,21
8,8,enzyme2,1,21,3,24
3,3,enzyme1,1,22,2,24
4,10,enzyme3,1,22,6,28
1,13,enzyme4,0,23,5,28
5,11,enzyme3,1,24,6,30
1,14,enzyme4,0,28,5,33
3,13,enzyme4,1,28,4,32
8,0,enzyme0,2,28,4,32
4,12,enzyme4,1,30,4,34
8,2,enzyme0,2,32,4,36
6,14,enzyme4,1,33,4,37
4,17,enzyme5,0,35,8,43
6,15,enzyme5,0,38,8,46
8,10,enzyme3,2,39,6,45
8,11,enzyme3,2,45,6,51
6,6,enzyme2,0,49,3,52
7,6,enzyme2,1,52,3,55
8,15,enzyme5,1,54,3,57
7,7,enzyme2,1,55,3,58
6,9,enzyme3,1,56,6,62
7,14,enzyme4,2,62,7,69
6,16,enzyme5,0,64,8,72
7,12,enzyme4,2,69,7,76
8,16,enzyme5,1,72,3,75
7,13,enzyme4,2,76,7,83
8,9,enzyme3,2,76,6,82
8,17,enzyme5,1,85,3,88
