Machine,Job,Product,Operation,Start,Duration,Completion
0,63,enzyme4,0,0,5,5
1,16,enzyme1,0,0,3,3
2,1,enzyme0,0,0,8,8
3,69,enzyme5,0,0,8,8
4,77,enzyme5,0,0,8,8
5,27,enzyme2,0,0,3,3
8,27,enzyme2,1,3,3,6
6,63,enzyme4,1,5,4,9
6,65,enzyme5,0,5,8,13
1,54,enzyme4,0,6,5,11
0,11,enzyme0,0,7,8,15
4,71,enzyme5,0,8,8,16
2,15,enzyme1,0,9,3,12
2,13,enzyme1,0,12,3,15
5,28,enzyme2,0,12,3,15
8,69,enzyme5,1,12,3,15
0,3,enzyme0,0,15,8,23
1,19,enzyme1,0,15,3,18
3,32,enzyme2,0,16,3,19
4,67,enzyme5,0,16,8,24
5,15,enzyme1,1,16,2,18
5,11,enzyme0,1,18,4,22
1,6,enzyme0,0,19,8,27
2,0,enzyme0,0,19,8,27
3,26,enzyme2,0,19,3,22
7,32,enzyme2,1,19,3,22
8,71,enzyme5,1,20,3,23
3,37,enzyme2,0,22,3,25
6,34,enzyme2,0,22,3,25
8,63,enzyme4,2,23,7,30
4,54,enzyme4,1,25,4,29
0,18,enzyme1,0,26,3,29
8,34,enzyme2,1,26,3,29
3,13,enzyme1,1,27,2,29
7,28,enzyme2,1,27,3,30
2,23,enzyme1,0,28,3,31
5,72,enzyme5,0,29,8,37
1,25,enzyme1,0,31,3,34
2,24,enzyme1,0,31,3,34
5,6,enzyme0,1,31,4,35
8,67,enzyme5,1,31,3,34
7,65,enzyme5,1,32,3,35
0,45,enzyme3,0,33,4,37
3,1,enzyme0,1,33,4,37
1,2,enzyme0,0,35,8,43
2,60,enzyme4,0,37,5,42
3,45,enzyme3,1,38,6,44
4,25,enzyme1,1,38,2,40
4,31,enzyme2,0,38,3,41
6,23,enzyme1,1,38,2,40
0,10,enzyme0,0,39,8,47
3,19,enzyme1,1,40,2,42
5,3,enzyme0,1,41,4,45
1,8,enzyme0,0,43,8,51
2,7,enzyme0,0,43,8,51
4,70,enzyme5,0,44,8,52
8,11,enzyme0,2,44,4,48
3,75,enzyme5,0,45,8,53
5,73,enzyme5,0,48,8,56
7,45,enzyme3,2,48,6,54
0,42,enzyme3,0,49,4,53
1,12,enzyme0,0,51,8,59
6,10,enzyme0,1,51,4,55
6,36,enzyme2,0,51,3,54
7,77,enzyme5,1,51,3,54
2,55,enzyme4,0,54,5,59
3,7,enzyme0,1,54,4,58
6,29,enzyme2,0,54,3,57
6,42,enzyme3,1,54,6,60
0,21,enzyme1,0,55,3,58
7,1,enzyme0,2,58,4,62
1,5,enzyme0,0,59,8,67
2,53,enzyme4,0,59,5,64
5,18,enzyme1,1,60,2,62
0,58,enzyme4,0,61,5,66
3,35,enzyme2,0,61,3,64
6,21,enzyme1,1,61,2,63
7,7,enzyme0,2,61,4,65
7,42,enzyme3,2,61,6,67
6,55,enzyme4,1,62,4,66
7,6,enzyme0,2,62,4,66
5,76,enzyme5,0,64,8,72
6,30,enzyme2,0,66,3,69
3,58,enzyme4,1,67,4,71
2,20,enzyme1,0,68,3,71
7,37,enzyme2,1,68,3,71
0,14,enzyme1,0,70,3,73
1,64,enzyme4,0,70,5,75
7,55,enzyme4,2,70,7,77
3,33,enzyme2,0,72,3,75
0,22,enzyme1,0,73,3,76
7,75,enzyme5,1,73,3,76
2,59,enzyme4,0,74,5,79
1,61,enzyme4,0,75,5,80
4,20,enzyme1,1,75,2,77
3,53,enzyme4,1,76,4,80
4,68,enzyme5,0,76,8,84
5,8,enzyme0,1,76,4,80
6,22,enzyme1,1,76,2,78
7,31,enzyme2,1,77,3,80
6,64,enzyme4,1,78,4,82
2,52,enzyme4,0,79,5,84
0,47,enzyme3,0,80,4,84
1,48,enzyme3,0,81,4,85
5,24,enzyme1,1,82,2,84
8,64,enzyme4,2,82,7,89
0,40,enzyme3,0,84,4,88
1,46,enzyme3,0,85,4,89
2,4,enzyme0,0,85,8,93
4,52,enzyme4,1,86,4,90
7,68,enzyme5,1,86,3,89
4,48,enzyme3,1,87,6,93
1,39,enzyme3,0,89,4,93
7,8,enzyme0,2,89,4,93
0,56,enzyme4,0,92,5,97
8,52,enzyme4,2,92,7,99
1,44,enzyme3,0,93,4,97
8,3,enzyme0,2,93,4,97
4,60,enzyme4,1,94,4,98
6,39,enzyme3,1,94,6,100
8,48,enzyme3,2,94,6,100
2,49,enzyme3,0,95,4,99
5,66,enzyme5,0,95,8,103
7,36,enzyme2,1,95,3,98
3,0,enzyme0,1,96,4,100
3,56,enzyme4,1,97,4,101
1,57,enzyme4,0,98,5,103
0,50,enzyme3,0,99,4,103
2,43,enzyme3,0,99,4,103
7,76,enzyme5,1,100,3,103
4,49,enzyme3,1,101,6,107
4,16,enzyme1,1,102,2,104
0,51,enzyme3,0,103,4,107
3,57,enzyme4,1,104,4,108
3,50,enzyme3,1,106,6,112
4,59,enzyme4,1,106,4,110
7,54,enzyme4,2,106,7,113
5,14,enzyme1,1,107,2,109
8,26,enzyme2,1,110,3,113
0,62,enzyme4,0,111,5,116
5,38,enzyme2,0,111,3,114
6,51,enzyme3,1,111,6,117
8,49,enzyme3,2,111,6,117
8,59,enzyme4,2,112,7,119
4,2,enzyme0,1,114,4,118
5,74,enzyme5,0,117,8,125
8,66,enzyme5,1,117,3,120
6,62,enzyme4,1,118,4,122
7,38,enzyme2,1,118,3,121
0,17,enzyme1,0,120,3,123
4,46,enzyme3,1,120,6,126
7,2,enzyme0,2,121,4,125
8,30,enzyme2,1,121,3,124
0,9,enzyme0,0,124,8,132
6,17,enzyme1,1,125,2,127
4,44,enzyme3,1,126,6,132
8,58,enzyme4,2,126,7,133
5,43,enzyme3,1,129,6,135
0,41,enzyme3,0,134,4,138
4,61,enzyme4,1,134,4,138
8,33,enzyme2,1,134,3,137
5,47,enzyme3,1,135,6,141
7,53,enzyme4,2,135,7,142
5,9,enzyme0,1,136,4,140
7,43,enzyme3,2,137,6,143
6,41,enzyme3,1,138,6,144
8,0,enzyme0,2,141,4,145
4,5,enzyme0,1,142,4,146
5,12,enzyme0,1,143,4,147
8,9,enzyme0,2,143,4,147
8,47,enzyme3,2,144,6,150
7,29,enzyme2,1,146,3,149
5,4,enzyme0,1,147,4,151
8,39,enzyme3,2,148,6,154
7,35,enzyme2,1,149,3,152
5,40,enzyme3,1,153,6,159
7,46,enzyme3,2,154,6,160
8,74,enzyme5,1,157,3,160
8,72,enzyme5,1,160,3,163
