Machine,Job,Product,Operation,Start,Duration,Completion
0,7,enzyme3,0,0,4,4
1,3,enzyme1,0,0,3,3
2,6,enzyme3,0,0,4,4
3,11,enzyme5,0,0,8,8
4,10,enzyme5,0,0,8,8
1,1,enzyme0,0,4,8,12
5,6,enzyme3,1,4,6,10
6,7,enzyme3,1,4,6,10
2,8,enzyme4,0,7,5,12
0,9,enzyme4,0,8,5,13
8,11,enzyme5,1,8,3,11
7,7,enzyme3,2,10,6,16
4,3,enzyme1,1,11,2,13
8,10,enzyme5,1,11,3,14
3,8,enzyme4,1,12,4,16
2,0,enzyme0,0,13,8,21
5,9,enzyme4,1,13,4,17
6,4,enzyme2,0,13,3,16
6,5,enzyme2,0,16,3,19
7,6,enzyme3,2,16,6,22
8,4,enzyme2,1,16,3,19
0,2,enzyme1,0,17,3,20
3,2,enzyme1,1,20,2,22
5,0,enzyme0,1,21,4,25
8,8,enzyme4,2,21,7,28
6,1,enzyme0,1,23,4,27
7,9,enzyme4,2,24,7,31
8,5,enzyme2,1,29,3,32
7,1,enzyme0,2,33,4,37
8,0,enzyme0,2,36,4,40
