Machine,Job,Product,Operation,Start,Duration,Completion
0,0,enzyme0,0,23.0,8,31.0
4,0,enzyme0,1,31.0,4,35.0
7,0,enzyme0,2,42.0,4,46.0
1,1,enzyme0,0,58.0,8,66.0
6,1,enzyme0,1,66.0,4,70.0
7,1,enzyme0,2,106.0,4,110.0
0,2,enzyme0,0,77.0,8,85.0
5,2,enzyme0,1,96.0,4,100.0
7,2,enzyme0,2,124.0,4,128.0
1,3,enzyme0,0,-0.0,8,8.0
6,3,enzyme0,1,43.0,4,47.0
8,3,enzyme0,2,120.0,4,124.0
0,4,enzyme0,0,62.0,8,70.0
6,4,enzyme0,1,74.0,4,78.0
7,4,enzyme0,2,110.0,4,114.0
2,5,enzyme0,0,49.0,8,57.0
6,5,enzyme0,1,70.0,4,74.0
7,5,enzyme0,2,114.0,4,118.0
2,6,enzyme0,0,77.0,8,85.0
4,6,enzyme0,1,85.0,4,89.0
8,6,enzyme0,2,124.0,4,128.0
0,7,enzyme0,0,15.0,8,23.0
4,7,enzyme0,1,41.0,4,45.0
7,7,enzyme0,2,46.0,4,50.0
0,8,enzyme0,0,0.0,8,8.0
5,8,enzyme0,1,69.0,4,73.0
7,8,enzyme0,2,120.0,4,124.0
2,9,enzyme1,0,26.0,3,29.0
6,9,enzyme1,1,79.0,2,81.0
2,10,enzyme1,0,86.0,3,89.0
3,10,enzyme1,1,89.0,2,91.0
2,11,enzyme1,0,12.0,3,15.0
4,11,enzyme1,1,37.0,2,39.0
2,12,enzyme1,0,67.0,3,70.0
5,12,enzyme1,1,102.0,2,104.0
0,13,enzyme1,0,34.0,3,37.0
4,13,enzyme1,1,81.0,2,83.0
1,14,enzyme1,0,54.0,3,57.0
3,14,enzyme1,1,91.0,2,93.0
2,15,enzyme1,0,70.0,3,73.0
3,15,enzyme1,1,93.0,2,95.0
0,16,enzyme1,0,73.0,3,76.0
3,16,enzyme1,1,76.0,2,78.0
2,17,enzyme1,0,64.0,3,67.0
3,17,enzyme1,1,67.0,2,69.0
6,18,enzyme2,0,3.0,3,6.0
7,18,enzyme2,1,9.0,3,12.0
3,19,enzyme2,0,6.0,3,9.0
8,19,enzyme2,1,9.0,3,12.0
5,20,enzyme2,0,3.0,3,6.0
8,20,enzyme2,1,6.0,3,9.0
3,21,enzyme2,0,3.0,3,6.0
8,21,enzyme2,1,12.0,3,15.0
6,22,enzyme2,0,-0.0,3,3.0
8,22,enzyme2,1,15.0,3,18.0
5,23,enzyme2,0,6.0,3,9.0
7,23,enzyme2,1,15.0,3,18.0
3,24,enzyme2,0,0.0,3,3.0
7,24,enzyme2,1,6.0,3,9.0
5,25,enzyme2,0,9.0,3,12.0
7,25,enzyme2,1,12.0,3,15.0
5,26,enzyme2,0,-0.0,3,3.0
7,26,enzyme2,1,3.0,3,6.0
2,27,enzyme3,0,31.0,4,35.0
3,27,enzyme3,1,60.0,6,66.0
7,27,enzyme3,2,91.0,6,97.0
1,28,enzyme3,0,35.0,4,39.0
5,28,enzyme3,1,43.0,6,49.0
8,28,enzyme3,2,49.0,6,55.0
2,29,enzyme3,0,17.0,4,21.0
6,29,enzyme3,1,23.0,6,29.0
7,29,enzyme3,2,33.0,6,39.0
2,30,enzyme3,0,59.0,4,63.0
5,30,enzyme3,1,75.0,6,81.0
8,30,enzyme3,2,87.0,6,93.0
2,31,enzyme3,0,7.0,4,11.0
6,31,enzyme3,1,29.0,6,35.0
8,31,enzyme3,2,43.0,6,49.0
1,32,enzyme3,0,27.0,4,31.0
5,32,enzyme3,1,61.0,6,67.0
8,32,enzyme3,2,81.0,6,87.0
1,33,enzyme3,0,11.0,4,15.0
6,33,enzyme3,1,17.0,6,23.0
7,33,enzyme3,2,27.0,6,33.0
2,34,enzyme3,0,21.0,4,25.0
5,34,enzyme3,1,55.0,6,61.0
8,34,enzyme3,2,75.0,6,81.0
1,35,enzyme3,0,31.0,4,35.0
4,35,enzyme3,1,91.0,6,97.0
7,35,enzyme3,2,97.0,6,103.0
1,36,enzyme4,0,21.0,5,26.0
3,36,enzyme4,1,40.0,4,44.0
7,36,enzyme4,2,80.0,7,87.0
2,37,enzyme4,0,-0.0,5,5.0
6,37,enzyme4,1,9.0,4,13.0
8,37,enzyme4,2,102.0,7,109.0
0,38,enzyme4,0,40.0,5,45.0
4,38,enzyme4,1,46.0,4,50.0
7,38,enzyme4,2,52.0,7,59.0
1,39,enzyme4,0,16.0,5,21.0
4,39,enzyme4,1,50.0,4,54.0
7,39,enzyme4,2,73.0,7,80.0
0,40,enzyme4,0,50.0,5,55.0
5,40,enzyme4,1,91.0,4,95.0
8,40,enzyme4,2,95.0,7,102.0
0,41,enzyme4,0,55.0,5,60.0
6,41,enzyme4,1,60.0,4,64.0
8,41,enzyme4,2,64.0,7,71.0
2,42,enzyme4,0,43.0,5,48.0
5,42,enzyme4,1,50.0,4,54.0
8,42,enzyme4,2,57.0,7,64.0
0,43,enzyme4,0,45.0,5,50.0
6,43,enzyme4,1,50.0,4,54.0
7,43,enzyme4,2,59.0,7,66.0
2,44,enzyme4,0,38.0,5,43.0
4,44,enzyme4,1,54.0,4,58.0
7,44,enzyme4,2,66.0,7,73.0
5,45,enzyme5,0,31.0,8,39.0
8,45,enzyme5,1,113.0,3,116.0
4,46,enzyme5,0,8.0,8,16.0
8,46,enzyme5,1,110.0,3,113.0
5,47,enzyme5,0,15.0,8,23.0
7,47,enzyme5,1,23.0,3,26.0
3,48,enzyme5,0,18.0,8,26.0
8,48,enzyme5,1,30.0,3,33.0
3,49,enzyme5,0,10.0,8,18.0
8,49,enzyme5,1,22.0,3,25.0
4,50,enzyme5,0,16.0,8,24.0
8,50,enzyme5,1,39.0,3,42.0
4,51,enzyme5,0,0.0,8,8.0
8,51,enzyme5,1,27.0,3,30.0
3,52,enzyme5,0,28.0,8,36.0
8,52,enzyme5,1,36.0,3,39.0
5,53,enzyme5,0,23.0,8,31.0
8,53,enzyme5,1,33.0,3,36.0
