Machine,Job,Product,Operation,Start,Duration,Completion
1,0,enzyme0,0,33.0,8,41.0
5,0,enzyme0,1,45.0,4,49.0
7,0,enzyme0,2,49.0,4,53.0
2,1,enzyme0,0,26.0,8,34.0
6,1,enzyme0,1,34.0,4,38.0
7,1,enzyme0,2,57.0,4,61.0
1,2,enzyme0,0,41.0,8,49.0
5,2,enzyme0,1,49.0,4,53.0
7,2,enzyme0,2,53.0,4,57.0
1,3,enzyme0,0,0.0,8,8.0
3,3,enzyme0,1,26.0,4,30.0
7,3,enzyme0,2,45.0,4,49.0
0,4,enzyme0,0,22.0,8,30.0
5,4,enzyme0,1,31.0,4,35.0
7,4,enzyme0,2,41.0,4,45.0
2,5,enzyme1,0,35.0,3,38.0
6,5,enzyme1,1,39.0,2,41.0
1,6,enzyme1,0,64.0,3,67.0
3,6,enzyme1,1,67.0,2,69.0
2,7,enzyme1,0,16.0,3,19.0
3,7,enzyme1,1,40.0,2,42.0
2,8,enzyme1,0,38.0,3,41.0
4,8,enzyme1,1,67.0,2,69.0
2,9,enzyme1,0,19.0,3,22.0
6,9,enzyme1,1,41.0,2,43.0
6,10,enzyme2,0,0.0,3,3.0
7,10,enzyme2,1,3.0,3,6.0
4,11,enzyme2,0,3.0,3,6.0
7,11,enzyme2,1,6.0,3,9.0
5,12,enzyme2,0,0.0,3,3.0
8,12,enzyme2,1,3.0,3,6.0
4,13,enzyme2,0,0.0,3,3.0
7,13,enzyme2,1,9.0,3,12.0
6,14,enzyme2,0,4.0,3,7.0
8,14,enzyme2,1,7.0,3,10.0
1,15,enzyme3,0,11.0,4,15.0
4,15,enzyme3,1,32.0,6,38.0
8,15,enzyme3,2,38.0,6,44.0
0,16,enzyme3,0,32.0,4,36.0
5,16,enzyme3,1,37.0,6,43.0
7,16,enzyme3,2,63.0,6,69.0
2,17,enzyme3,0,11.0,4,15.0
4,17,enzyme3,1,38.0,6,44.0
8,17,enzyme3,2,44.0,6,50.0
0,18,enzyme3,0,7.0,4,11.0
3,18,enzyme3,1,17.0,6,23.0
7,18,enzyme3,2,24.0,6,30.0
2,19,enzyme3,0,7.0,4,11.0
3,19,enzyme3,1,33.0,6,39.0
8,19,enzyme3,2,50.0,6,56.0
1,20,enzyme4,0,21.0,5,26.0
5,20,enzyme4,1,26.0,4,30.0
8,20,enzyme4,2,58.0,7,65.0
1,21,enzyme4,0,16.0,5,21.0
4,21,enzyme4,1,21.0,4,25.0
8,21,enzyme4,2,26.0,7,33.0
2,22,enzyme4,0,0.0,5,5.0
4,22,enzyme4,1,15.0,4,19.0
8,22,enzyme4,2,19.0,7,26.0
0,23,enzyme4,0,0.0,5,5.0
5,23,enzyme4,1,8.0,4,12.0
8,23,enzyme4,2,12.0,7,19.0
0,24,enzyme4,0,15.0,5,20.0
4,24,enzyme4,1,25.0,4,29.0
7,24,enzyme4,2,32.0,7,39.0
3,25,enzyme5,0,8.0,8,16.0
7,25,enzyme5,1,17.0,3,20.0
6,26,enzyme5,0,20.0,8,28.0
8,26,enzyme5,1,34.0,3,37.0
6,27,enzyme5,0,12.0,8,20.0
7,27,enzyme5,1,20.0,3,23.0
3,28,enzyme5,0,0.0,8,8.0
7,28,enzyme5,1,14.0,3,17.0
4,29,enzyme5,0,45.0,8,53.0
8,29,enzyme5,1,66.0,3,69.0
