Machine,Job,Product,Operation,Start,Duration,Completion
2,0,enzyme0,0,10.0,8,18.0
6,0,enzyme0,1,26.0,4,30.0
8,0,enzyme0,2,30.0,4,34.0
2,1,enzyme0,0,18.0,8,26.0
4,1,enzyme0,1,26.0,4,30.0
7,1,enzyme0,2,30.0,4,34.0
0,2,enzyme1,0,6.0,3,9.0
5,2,enzyme1,1,32.0,2,34.0
1,3,enzyme1,0,13.0,3,16.0
3,3,enzyme1,1,21.0,2,23.0
5,4,enzyme2,0,-0.0,3,3.0
7,4,enzyme2,1,3.0,3,6.0
5,5,enzyme2,0,3.0,3,6.0
8,5,enzyme2,1,6.0,3,9.0
0,6,enzyme3,0,-0.0,4,4.0
6,6,enzyme3,1,4.0,6,10.0
7,6,enzyme3,2,15.0,6,21.0
1,7,enzyme3,0,6.0,4,10.0
6,7,enzyme3,1,10.0,6,16.0
7,7,enzyme3,2,21.0,6,27.0
1,8,enzyme4,0,0.0,5,5.0
4,8,enzyme4,1,9.0,4,13.0
8,8,enzyme4,2,13.0,7,20.0
2,9,enzyme4,0,-0.0,5,5.0
3,9,enzyme4,1,15.0,4,19.0
8,9,enzyme4,2,20.0,7,27.0
3,10,enzyme5,0,-0.0,8,8.0
7,10,enzyme5,1,8.0,3,11.0
4,11,enzyme5,0,-0.0,8,8.0
7,11,enzyme5,1,11.0,3,14.0
