Machine,Job,Product,Operation,Start,Duration,Completion
0,0,enzyme0,0,90.0,8,98.0
5,0,enzyme0,1,98.0,4,102.0
7,0,enzyme0,2,127.0,4,131.0
1,1,enzyme0,0,16.0,8,24.0
5,1,enzyme0,1,24.0,4,28.0
8,1,enzyme0,2,28.0,4,32.0
1,2,enzyme0,0,114.0,8,122.0
4,2,enzyme0,1,123.0,4,127.0
7,2,enzyme0,2,131.0,4,135.0
0,3,enzyme0,0,50.0,8,58.0
3,3,enzyme0,1,60.0,4,64.0
7,3,enzyme0,2,64.0,4,68.0
1,4,enzyme0,0,8.0,8,16.0
3,4,enzyme0,1,27.0,4,31.0
8,4,enzyme0,2,57.0,4,61.0
0,5,enzyme0,0,98.0,8,106.0
5,5,enzyme0,1,128.0,4,132.0
7,5,enzyme0,2,139.0,4,143.0
1,6,enzyme0,0,133.0,8,141.0
3,6,enzyme0,1,164.0,4,168.0
7,6,enzyme0,2,168.0,4,172.0
1,7,enzyme0,0,-0.0,8,8.0
3,7,enzyme0,1,64.0,4,68.0
7,7,enzyme0,2,135.0,4,139.0
0,8,enzyme0,0,42.0,8,50.0
5,8,enzyme0,1,55.0,4,59.0
7,8,enzyme0,2,60.0,4,64.0
0,9,enzyme0,0,7.0,8,15.0
6,9,enzyme0,1,26.0,4,30.0
8,9,enzyme0,2,32.0,4,36.0
2,10,enzyme0,0,6.0,8,14.0
5,10,enzyme0,1,20.0,4,24.0
8,10,enzyme0,2,24.0,4,28.0
0,11,enzyme0,0,58.0,8,66.0
3,11,enzyme0,1,160.0,4,164.0
8,11,enzyme0,2,180.0,4,184.0
1,12,enzyme0,0,106.0,8,114.0
6,12,enzyme0,1,172.0,4,176.0
8,12,enzyme0,2,176.0,4,180.0
1,13,enzyme1,0,83.0,3,86.0
3,13,enzyme1,1,138.0,2,140.0
1,14,enzyme1,0,86.0,3,89.0
5,14,enzyme1,1,92.0,2,94.0
2,15,enzyme1,0,38.0,3,41.0
6,15,enzyme1,1,46.0,2,48.0
0,16,enzyme1,0,114.0,3,117.0
4,16,enzyme1,1,117.0,2,119.0
2,17,enzyme1,0,15.0,3,18.0
6,17,enzyme1,1,62.0,2,64.0
0,18,enzyme1,0,109.0,3,112.0
4,18,enzyme1,1,119.0,2,121.0
0,19,enzyme1,0,3.0,3,6.0
5,19,enzyme1,1,77.0,2,79.0
2,20,enzyme1,0,48.0,3,51.0
5,20,enzyme1,1,69.0,2,71.0
1,21,enzyme1,0,89.0,3,92.0
6,21,enzyme1,1,154.0,2,156.0
2,22,enzyme1,0,69.0,3,72.0
6,22,enzyme1,1,79.0,2,81.0
0,23,enzyme1,0,-0.0,3,3.0
3,23,enzyme1,1,154.0,2,156.0
2,24,enzyme1,0,51.0,3,54.0
3,24,enzyme1,1,54.0,2,56.0
1,25,enzyme1,0,77.0,3,80.0
