Machine,Job,Product,Operation,Start,Duration,Completion
1,0,enzyme0,0,54.0,8,62.0
4,0,enzyme0,1,77.0,4,81.0
8,0,enzyme0,2,118.0,4,122.0
0,1,enzyme0,0,22.0,8,30.0
6,1,enzyme0,1,30.0,4,34.0
7,1,enzyme0,2,62.0,4,66.0
1,2,enzyme0,0,12.0,8,20.0
6,2,enzyme0,1,65.0,4,69.0
7,2,enzyme0,2,90.0,4,94.0
0,3,enzyme0,0,47.0,8,55.0
5,3,enzyme0,1,78.0,4,82.0
8,3,enzyme0,2,122.0,4,126.0
2,4,enzyme0,0,32.0,8,40.0
5,4,enzyme0,1,90.0,4,94.0
7,4,enzyme0,2,133.0,4,137.0
2,5,enzyme0,0,40.0,8,48.0
5,5,enzyme0,1,51.0,4,55.0
7,5,enzyme0,2,125.0,4,129.0
0,6,enzyme0,0,74.0,8,82.0
5,6,enzyme0,1,82.0,4,86.0
7,6,enzyme0,2,86.0,4,90.0
1,7,enzyme0,0,46.0,8,54.0
5,7,enzyme0,1,86.0,4,90.0
7,7,enzyme0,2,121.0,4,125.0
0,8,enzyme0,0,39.0,8,47.0
5,8,enzyme0,1,55.0,4,59.0
7,8,enzyme0,2,117.0,4,121.0
1,9,enzyme0,0,88.0,8,96.0
4,9,enzyme0,1,125.0,4,129.0
7,9,enzyme0,2,129.0,4,133.0
0,10,enzyme1,0,61.0,3,64.0
4,10,enzyme1,1,73.0,2,75.0
2,11,enzyme1,0,5.0,3,8.0
6,11,enzyme1,1,12.0,2,14.0
1,12,enzyme1,0,8.0,3,11.0
3,12,enzyme1,1,17.0,2,19.0
0,13,enzyme1,0,58.0,3,61.0
6,13,enzyme1,1,146.0,2,148.0
2,14,enzyme1,0,55.0,3,58.0
6,14,enzyme1,1,143.0,2,145.0
0,15,enzyme1,0,18.0,3,21.0
3,15,enzyme1,1,111.0,2,113.0
1,16,enzyme1,0,81.0,3,84.0
4,16,enzyme1,1,121.0,2,123.0
2,17,enzyme1,0,122.0,3,125.0
3,17,enzyme1,1,125.0,2,127.0
1,18,enzyme1,0,5.0,3,8.0
3,18,enzyme1,1,15.0,2,17.0
1,19,enzyme1,0,84.0,3,87.0
3,19,enzyme1,1,87.0,2,89.0
3,20,enzyme2,0,3.0,3,6.0
7,20,enzyme2,1,6.0,3,9.0
6,21,enzyme2,0,6.0,3,9.0
7,21,enzyme2,1,9.0,3,12.0
4,22,enzyme2,0,66.0,3,69.0
8,22,enzyme2,1,81.0,3,84.0
6,23,enzyme2,0,35.0,3,38.0
8,23,enzyme2,1,78.0,3,81.0
5,24,enzyme2,0,14.0,3,17.0
7,24,enzyme2,1,17.0,3,20.0
6,25,enzyme2,0,3.0,3,6.0
7,25,enzyme2,1,20.0,3,23.0
5,26,enzyme2,0,17.0,3,20.0
8,26,enzyme2,1,20.0,3,23.0
6,27,enzyme2,0,-0.0,3,3.0
7,27,enzyme2,1,3.0,3,6.0
3,28,enzyme2,0,-0.0,3,3.0
7,28,enzyme2,1,23.0,3,26.0
5,29,enzyme2,0,11.0,3,14.0
